Month;Year;inflation;;
1;2024;7,44;;
12;2023;7,42;;
11;2023;7,48;;
10;2023;6,69;;
9;2023;6,00;;
8;2023;5,15;;
7;2023;4,30;;
6;2023;3,25;;
5;2023;2,51;;
4;2023;2,31;;
3;2023;3,51;;
2;2023;10,99;;
1;2023;11,77;;
12;2022;11,94;;
11;2022;11,98;;
10;2022;12,63;;
9;2022;13,68;;
8;2022;14,30;;
7;2022;15,10;;
6;2022;15,90;;
5;2022;17,10;;
4;2022;17,83;;
3;2022;16,69;;
2;2022;9,15;;
1;2022;8,73;;
12;2021;8,39;;
11;2021;8,40;;
10;2021;8,13;;
9;2021;7,40;;
8;2021;6,68;;
7;2021;6,50;;
6;2021;6,50;;
5;2021;6,00;;
4;2021;5,50;;
3;2021;5,80;;
2;2021;5,70;;
1;2021;5,20;;
12;2020;4,90;;
11;2020;4,40;;
10;2020;4,00;;
9;2020;3,70;;
8;2020;3,60;;
7;2020;3,40;;
6;2020;3,20;;
5;2020;3,00;;
4;2020;3,10;;
3;2020;2,50;;
2;2020;2,30;;
1;2020;2,40;;
12;2019;3,00;;
11;2019;3,50;;
10;2019;3,80;;
9;2019;4,00;;
8;2019;4,30;;
7;2019;4,60;;
6;2019;4,70;;
5;2019;5,10;;
4;2019;5,20;;
3;2019;5,30;;
2;2019;5,20;;
1;2019;5,00;;
12;2018;4,30;;
11;2018;3,80;;
10;2018;3,50;;
9;2018;3,40;;
8;2018;3,10;;
7;2018;2,50;;
6;2018;2,30;;
5;2018;2,40;;
4;2018;2,40;;
3;2018;2,40;;
2;2018;2,20;;
1;2018;2,20;;
12;2017;2,50;;
11;2017;2,50;;
10;2017;2,70;;
9;2017;3,00;;
8;2017;3,30;;
7;2017;3,90;;
6;2017;4,40;;
5;2017;4,10;;
4;2017;4,10;;
3;2017;4,30;;
2;2017;4,60;;
1;2017;5,00;;
12;2016;5,40;;
11;2016;5,80;;
10;2016;6,10;;
9;2016;6,40;;
8;2016;6,90;;
